id,utterance,lang,intent_label,extracted_entities,confidence_hint
N000001,"I was fired without notice. (I work as crops and animal production in agriculture, based in Dar es Salaam.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Dar es Salaam,high
N000002,"I was fired without notice. (I work as crops and animal production in agriculture, based in Arusha.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Arusha,high
N000003,"I was fired without notice. (I work as crops and animal production in agriculture, based in Mwanza.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Mwanza,high
N000004,"I was fired without notice. (I work as dispensary in health, based in Dar es Salaam.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Dar es Salaam,high
N000005,"I was fired without notice. (I work as dispensary in health, based in Arusha.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Arusha,high
N000006,"I was fired without notice. (I work as dispensary in health, based in Mwanza.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Mwanza,high
N000007,"I was fired without notice. (I work as diplomat household in domestic, based in Dar es Salaam.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Dar es Salaam,high
N000008,"I was fired without notice. (I work as diplomat household in domestic, based in Arusha.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Arusha,high
N000009,"I was fired without notice. (I work as diplomat household in domestic, based in Mwanza.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Mwanza,high
N000010,"I was fired without notice. (I work as 3-star hotel in hospitality, based in Dar es Salaam.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Dar es Salaam,high
N000011,"I was fired without notice. (I work as 3-star hotel in hospitality, based in Arusha.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Arusha,high
N000012,"I was fired without notice. (I work as 3-star hotel in hospitality, based in Mwanza.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Mwanza,high
N000013,"I was fired without notice. (I work as domestic security in security, based in Dar es Salaam.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Dar es Salaam,high
N000014,"I was fired without notice. (I work as domestic security in security, based in Arusha.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Arusha,high
N000015,"I was fired without notice. (I work as domestic security in security, based in Mwanza.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Mwanza,high
N000016,"I was fired without notice. (I work as inland transport in transport, based in Dar es Salaam.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Dar es Salaam,high
N000017,"I was fired without notice. (I work as inland transport in transport, based in Arusha.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Arusha,high
N000018,"I was fired without notice. (I work as inland transport in transport, based in Mwanza.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Mwanza,high
N000019,"I was fired without notice. (I work as mining/prospecting in mining, based in Dar es Salaam.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Dar es Salaam,high
N000020,"I was fired without notice. (I work as mining/prospecting in mining, based in Arusha.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Arusha,high
N000021,"I was fired without notice. (I work as mining/prospecting in mining, based in Mwanza.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Mwanza,high
N000022,"I was fired without notice. (I work as secondary school in education, based in Dar es Salaam.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Dar es Salaam,high
N000023,"I was fired without notice. (I work as secondary school in education, based in Arusha.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Arusha,high
N000024,"I was fired without notice. (I work as secondary school in education, based in Mwanza.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Mwanza,high
N000025,"I was fired without notice. (I work as microfinance in finance, based in Dar es Salaam.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Dar es Salaam,high
N000026,"I was fired without notice. (I work as microfinance in finance, based in Arusha.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Arusha,high
N000027,"I was fired without notice. (I work as microfinance in finance, based in Mwanza.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Mwanza,high
N000028,"I was fired without notice. (I work as other sector in other, based in Dar es Salaam.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Dar es Salaam,high
N000029,"I was fired without notice. (I work as other sector in other, based in Arusha.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Arusha,high
N000030,"I was fired without notice. (I work as other sector in other, based in Mwanza.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Mwanza,high
N000031,"My boss dismissed me yesterday. (I work as crops and animal production in agriculture, based in Dar es Salaam.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Dar es Salaam,high
N000032,"My boss dismissed me yesterday. (I work as crops and animal production in agriculture, based in Arusha.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Arusha,high
N000033,"My boss dismissed me yesterday. (I work as crops and animal production in agriculture, based in Mwanza.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Mwanza,high
N000034,"My boss dismissed me yesterday. (I work as dispensary in health, based in Dar es Salaam.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Dar es Salaam,high
N000035,"My boss dismissed me yesterday. (I work as dispensary in health, based in Arusha.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Arusha,high
N000036,"My boss dismissed me yesterday. (I work as dispensary in health, based in Mwanza.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Mwanza,high
N000037,"My boss dismissed me yesterday. (I work as diplomat household in domestic, based in Dar es Salaam.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Dar es Salaam,high
N000038,"My boss dismissed me yesterday. (I work as diplomat household in domestic, based in Arusha.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Arusha,high
N000039,"My boss dismissed me yesterday. (I work as diplomat household in domestic, based in Mwanza.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Mwanza,high
N000040,"My boss dismissed me yesterday. (I work as 3-star hotel in hospitality, based in Dar es Salaam.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Dar es Salaam,high
N000041,"My boss dismissed me yesterday. (I work as 3-star hotel in hospitality, based in Arusha.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Arusha,high
N000042,"My boss dismissed me yesterday. (I work as 3-star hotel in hospitality, based in Mwanza.)",en,dismissal_complaint,sector=hospitality;sub_sector=3-star hotel;region=Mwanza,high
N000043,"My boss dismissed me yesterday. (I work as domestic security in security, based in Dar es Salaam.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Dar es Salaam,high
N000044,"My boss dismissed me yesterday. (I work as domestic security in security, based in Arusha.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Arusha,high
N000045,"My boss dismissed me yesterday. (I work as domestic security in security, based in Mwanza.)",en,dismissal_complaint,sector=security;sub_sector=domestic security;region=Mwanza,high
N000046,"My boss dismissed me yesterday. (I work as inland transport in transport, based in Dar es Salaam.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Dar es Salaam,high
N000047,"My boss dismissed me yesterday. (I work as inland transport in transport, based in Arusha.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Arusha,high
N000048,"My boss dismissed me yesterday. (I work as inland transport in transport, based in Mwanza.)",en,dismissal_complaint,sector=transport;sub_sector=inland transport;region=Mwanza,high
N000049,"My boss dismissed me yesterday. (I work as mining/prospecting in mining, based in Dar es Salaam.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Dar es Salaam,high
N000050,"My boss dismissed me yesterday. (I work as mining/prospecting in mining, based in Arusha.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Arusha,high
N000051,"My boss dismissed me yesterday. (I work as mining/prospecting in mining, based in Mwanza.)",en,dismissal_complaint,sector=mining;sub_sector=mining/prospecting;region=Mwanza,high
N000052,"My boss dismissed me yesterday. (I work as secondary school in education, based in Dar es Salaam.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Dar es Salaam,high
N000053,"My boss dismissed me yesterday. (I work as secondary school in education, based in Arusha.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Arusha,high
N000054,"My boss dismissed me yesterday. (I work as secondary school in education, based in Mwanza.)",en,dismissal_complaint,sector=education;sub_sector=secondary school;region=Mwanza,high
N000055,"My boss dismissed me yesterday. (I work as microfinance in finance, based in Dar es Salaam.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Dar es Salaam,high
N000056,"My boss dismissed me yesterday. (I work as microfinance in finance, based in Arusha.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Arusha,high
N000057,"My boss dismissed me yesterday. (I work as microfinance in finance, based in Mwanza.)",en,dismissal_complaint,sector=finance;sub_sector=microfinance;region=Mwanza,high
N000058,"My boss dismissed me yesterday. (I work as other sector in other, based in Dar es Salaam.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Dar es Salaam,high
N000059,"My boss dismissed me yesterday. (I work as other sector in other, based in Arusha.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Arusha,high
N000060,"My boss dismissed me yesterday. (I work as other sector in other, based in Mwanza.)",en,dismissal_complaint,sector=other;sub_sector=other sector;region=Mwanza,high
N000061,"I got terminated for no reason. (I work as crops and animal production in agriculture, based in Dar es Salaam.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Dar es Salaam,high
N000062,"I got terminated for no reason. (I work as crops and animal production in agriculture, based in Arusha.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Arusha,high
N000063,"I got terminated for no reason. (I work as crops and animal production in agriculture, based in Mwanza.)",en,dismissal_complaint,sector=agriculture;sub_sector=crops and animal production;region=Mwanza,high
N000064,"I got terminated for no reason. (I work as dispensary in health, based in Dar es Salaam.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Dar es Salaam,high
N000065,"I got terminated for no reason. (I work as dispensary in health, based in Arusha.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Arusha,high
N000066,"I got terminated for no reason. (I work as dispensary in health, based in Mwanza.)",en,dismissal_complaint,sector=health;sub_sector=dispensary;region=Mwanza,high
N000067,"I got terminated for no reason. (I work as diplomat household in domestic, based in Dar es Salaam.)",en,dismissal_complaint,sector=domestic;sub_sector=diplomat household;region=Dar es Salaam,high
