dialog_id,turn,speaker,text,lang,annotation
D001,1,user,Hi,en,L1:GREET
D001,2,bot,"Hi! I'm Sheria-Bot, your Tanzania employment-law AI. How can I help?",en,L1:GREET_RESPONSE
D001,3,user,"My name is Peter, I'm a lawyer in the finance sector, based in Shinyanga.",en,"L3:INTRO extracted={name},{occ},{sec_en},{region}"
D001,4,bot,"Nice to meet you, Peter. What employment question can I help with?",en,L3:INTRO_ACK
D001,5,user,I was fired without notice.,en,L4:INTENT=dismissal_complaint
D001,6,bot,"[Reasoning: Identify intent=dismissal_complaint → retrieve K001 (unfair_termination definition) + K014 (CMA timeline) + K018 (remedies). Apply: user was terminated without procedure → presumption of unfair termination → 60-day CMA window → possible remedies are reinstatement, re-engagement, or compensation.] This may be unfair termination under ELRA s.36. Burden of proof is on your employer. File CMA Form 1 within 60 days. Possible remedies under s.40 (LLA 4/2025): reinstatement, re-engagement, or compensation of 6-24 months remuneration depending on whether the procedure, reason, or both were unfair.",en,"L5:MAP kids=K001,K014,K018; cite=ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)"
D001,7,user,Thank you.,en,L1:THANKS
D001,8,bot,You're welcome. Good luck.,en,L1:THANKS_REPLY
D002,1,user,Habari,sw,L1:GREET
D002,2,bot,"Habari yako! Mimi ni Sheria-Bot, msaidizi wa AI wa sheria ya kazi. Naweza kukusaidia vipi?",sw,L1:GREET_RESPONSE
D002,3,user,"Jina langu ni Fatuma, mimi ni intern fedha, niko Dodoma.",sw,"L3:INTRO extracted=Fatuma,intern,finance,Dodoma"
D002,4,bot,Karibu Fatuma. Una swali gani la kazi?,sw,L3:INTRO_ACK
D002,5,user,Nimeachishwa baada ya miaka 5.,sw,L4:INTENT=dismissal_complaint
D002,6,bot,"[Reasoning: Tambua intent=dismissal_complaint → toa K001 + K014 + K018. Tumia: mfanyakazi amefutwa bila utaratibu → kufukuzwa bila haki → muda wa siku 60 wa CMA → suluhu zinazowezekana.] Hii inaweza kuwa kufukuzwa bila haki chini ya ELRA s.36. Mzigo wa uthibitisho ni wa mwajiri. Jaza Fomu Na. 1 ya CMA ndani ya siku 60. Suluhu chini ya s.40 (LLA 4/2025): kurudishwa, kuajiriwa upya, au fidia ya miezi 6-24.",sw,"L5:MAP kids=K001,K014,K018; cite=ELRA 2004 s.36 (as amended by LLA 4/2025); CMA Rules; ELRA 2004 s.40 (as amended by LLA 4/2025)"
D002,7,user,Asante.,sw,L1:THANKS
D002,8,bot,Karibu. Bahati njema.,sw,L1:THANKS_REPLY
D003,1,user,Hi,en,L1:GREET
D003,2,bot,"Hi! I'm Sheria-Bot, your Tanzania employment-law AI. How can I help?",en,L1:GREET_RESPONSE
D003,3,user,"My name is Andrew, I'm a doctor in the health sector, based in Bukoba.",en,"L3:INTRO extracted={name},{occ},{sec_en},{region}"
D003,4,bot,"Nice to meet you, Andrew. What employment question can I help with?",en,L3:INTRO_ACK
D003,5,user,My salary is too low for my sector.,en,L4:INTENT=wage_underpayment
D003,6,bot,"[Reasoning: Intent=wage_underpayment, sub_sector=hospital. Retrieve fact-knowledge for hospital = TZS 250,000/month. Compare user's reported wage to this floor. If below → unlawful → CMA Form 1.] For a hospital worker in health, the minimum wage is TZS 250,000/month under GN 605A/2025 (effective 1 Jan 2026). If you are paid below this, you may file with CMA within 60 days to recover the difference plus interest.",en,"L5:MAP kids=K103,K014; cite=GN 605A/2025; CMA Rules"
D003,7,user,Thank you.,en,L1:THANKS
D003,8,bot,You're welcome. Good luck.,en,L1:THANKS_REPLY
D004,1,user,Habari,sw,L1:GREET
D004,2,bot,"Habari yako! Mimi ni Sheria-Bot, msaidizi wa AI wa sheria ya kazi. Naweza kukusaidia vipi?",sw,L1:GREET_RESPONSE
D004,3,user,"Jina langu ni Juma, mimi ni mpishi ukarimu, niko Songea.",sw,"L3:INTRO extracted=Juma,cook,hospitality,Songea"
D004,4,bot,Karibu Juma. Una swali gani la kazi?,sw,L3:INTRO_ACK
D004,5,user,Mwajiri analipa chini ya kisheria.,sw,L4:INTENT=wage_underpayment
D004,6,bot,"[Reasoning: Intent=wage_underpayment, sub_sector=5/4-star hotel. Toa fact-knowledge ya 5/4-star hotel = TZS 375,000/mwezi. Linganisha mshahara ulioripotiwa na huu. Iwapo upo chini → si halali → CMA Fomu 1.] Kwa 5/4-star hotel hospitality, kima cha chini ni TZS 375,000/mwezi chini ya GN 605A/2025 (inaanza 1 Jan 2026). Iwapo unalipwa chini, unaweza kupeleka CMA ndani ya siku 60 kurudisha tofauti pamoja na riba.",sw,"L5:MAP kids=K114,K014; cite=GN 605A/2025; CMA Rules"
D004,7,user,Asante.,sw,L1:THANKS
D004,8,bot,Karibu. Bahati njema.,sw,L1:THANKS_REPLY
D005,1,user,Hi,en,L1:GREET
D005,2,bot,"Hi! I'm Sheria-Bot, your Tanzania employment-law AI. How can I help?",en,L1:GREET_RESPONSE
D005,3,user,"My name is James, I'm a plumber in the construction sector, based in Mwanza.",en,"L3:INTRO extracted={name},{occ},{sec_en},{region}"
D005,4,bot,"Nice to meet you, James. What employment question can I help with?",en,L3:INTRO_ACK
D005,5,user,Am I entitled to end-of-service pay?,en,L4:INTENT=severance_query
D005,6,bot,"[Reasoning: Intent=severance_query → retrieve K003 (severance formula). Apply: severance = 7 × min(years,10) × monthly_wage/26.] Under ELRA s.42, severance pay = 7 days basic wage × completed years of service (capped at 10 years). Daily basic = monthly wage / 26. Severance is NOT payable if termination is for misconduct. Tell me your monthly wage and years of service and I'll compute the exact amount.",en,L5:MAP kids=K003; cite=ELRA 2004 s.42
D005,7,user,Thank you.,en,L1:THANKS
D005,8,bot,You're welcome. Good luck.,en,L1:THANKS_REPLY
D006,1,user,Habari,sw,L1:GREET
D006,2,bot,"Habari yako! Mimi ni Sheria-Bot, msaidizi wa AI wa sheria ya kazi. Naweza kukusaidia vipi?",sw,L1:GREET_RESPONSE
D006,3,user,"Jina langu ni Rashid, mimi ni daktari afya, niko Zanzibar.",sw,"L3:INTRO extracted=Rashid,doctor,health,Zanzibar"
D006,4,bot,Karibu Rashid. Una swali gani la kazi?,sw,L3:INTRO_ACK
D006,5,user,Kifuta jasho ni kiasi gani?,sw,L4:INTENT=severance_query
D006,6,bot,"[Reasoning: Intent=severance_query → toa K003 (formula). Tumia: kifuta jasho = 7 × min(miaka,10) × mshahara/26.] Chini ya ELRA s.42, kifuta jasho = siku 7 za mshahara wa msingi × miaka iliyokamilika (hadi miaka 10). Mshahara wa siku = mshahara wa mwezi / 26. HAKILIPWI kwa utovu wa nidhamu. Niambie mshahara wako wa mwezi na miaka ya kazi nikuhesabie.",sw,L5:MAP kids=K003; cite=ELRA 2004 s.42
D006,7,user,Asante.,sw,L1:THANKS
D006,8,bot,Karibu. Bahati njema.,sw,L1:THANKS_REPLY
D007,1,user,Hi,en,L1:GREET
D007,2,bot,"Hi! I'm Sheria-Bot, your Tanzania employment-law AI. How can I help?",en,L1:GREET_RESPONSE
D007,3,user,"My name is Sarah, I'm a warehouse worker in the industrial sector, based in Zanzibar.",en,"L3:INTRO extracted={name},{occ},{sec_en},{region}"
D007,4,bot,"Nice to meet you, Sarah. What employment question can I help with?",en,L3:INTRO_ACK
D007,5,user,How many days of annual leave do I get?,en,L4:INTENT=leave_query
D007,6,bot,"[Reasoning: Intent=leave_query → retrieve K005 (annual) + K006 (sick) + K007 (maternity) + K008 (paternity) + K009 (unpaid). Present all 5 entitlements.] Under ELRA you are entitled to: 28 days annual leave (s.29); up to 126 days sick leave per 3-year cycle (s.32); 84 days paid maternity leave (s.33, plus premature-birth top-up to 40 weeks under LLA 4/2025); 3 days paternity (or 7 extra for premature birth); and up to 30 days unpaid leave on written request.",en,"L5:MAP kids=K005,K006,K007,K008,K009; cite=ELRA 2004 s.29; ELRA 2004 s.32; ELRA 2004 s.33 (amended); ELRA 2004 s.34 (amended); LLA 4/2025"
D007,7,user,Thank you.,en,L1:THANKS
D007,8,bot,You're welcome. Good luck.,en,L1:THANKS_REPLY
D008,1,user,Habari,sw,L1:GREET
D008,2,bot,"Habari yako! Mimi ni Sheria-Bot, msaidizi wa AI wa sheria ya kazi. Naweza kukusaidia vipi?",sw,L1:GREET_RESPONSE
D008,3,user,"Jina langu ni Ali, mimi ni meneja wa hoteli ukarimu, niko Shinyanga.",sw,"L3:INTRO extracted=Ali,hotel manager,hospitality,Shinyanga"
D008,4,bot,Karibu Ali. Una swali gani la kazi?,sw,L3:INTRO_ACK
D008,5,user,Likizo ya mwaka ni siku ngapi?,sw,L4:INTENT=leave_query
