knowledge_id,type,lang,topic,statement,citation,parameters
K001,definition,en,unfair_termination,"A termination is unfair if the employer fails to prove (a) reason is valid, (b) reason is fair, (c) procedure was fair. Burden of proof is on the employer.",ELRA 2004 s.36 (as amended by LLA 4/2025),burden=employer
K001,definition,sw,unfair_termination,"Kufukuzwa ni bila haki iwapo mwajiri ameshindwa kuthibitisha (a) sababu halali, (b) sababu ya haki, (c) utaratibu wa haki. Mzigo wa uthibitisho ni wa mwajiri.",ELRA 2004 s.36 (as amended by LLA 4/2025),
K002,rule,en,valid_reasons,"Valid reasons for termination: misconduct, incapacity, incompatibility, operational requirements.",GN 42/2007 Code of Good Practice,count=4
K002,rule,sw,valid_reasons,"Sababu halali za kufukuzwa: utovu wa nidhamu, ukosefu wa uwezo, kutopatana, mahitaji ya kibiashara.",GN 42/2007 Code of Good Practice,
K003,formula,en,severance_pay,"Severance pay = 7 days basic wage × min(years_of_service, 10). Daily basic = monthly_wage / 26. Not payable for misconduct.",ELRA 2004 s.42,cap=10years;exclude=misconduct
K003,formula,sw,severance_pay,"Kifuta jasho = siku 7 za mshahara wa msingi × min(miaka_ya_kazi, 10). Mshahara wa siku = mshahara_wa_mwezi / 26. Hakistahili kwa utovu wa nidhamu.",ELRA 2004 s.42,
K004,rule,en,notice_period,"Notice: first month = 7 days; thereafter daily/weekly = 4 days, monthly = 28 days. Must be written, with reasons, not running during leave.",ELRA 2004 s.41,first_month=7d;daily=4d;weekly=4d;monthly=28d
K004,rule,sw,notice_period,"Notisi: mwezi wa kwanza = siku 7; baada ya hapo siku/wiki = siku 4, mwezi = siku 28. Lazima kwa maandishi, na sababu, isipite wakati wa likizo.",ELRA 2004 s.41,
K005,rule,en,annual_leave,"Annual leave: 28 consecutive days per 12-month leave cycle, taken within 6 months after the cycle.",ELRA 2004 s.29,days=28;cycle=12mo
K005,rule,sw,annual_leave,"Likizo ya mwaka: siku 28 mfululizo kwa kila mzunguko wa miezi 12, kuchukuliwa ndani ya miezi 6.",ELRA 2004 s.29,
K006,rule,en,sick_leave,Sick leave: up to 126 days per 3-year leave cycle (63 full pay + 63 half pay). Medical certificate required.,ELRA 2004 s.32,max=126;full_pay=63;half_pay=63;cycle=36mo
K006,rule,sw,sick_leave,Likizo ya ugonjwa: hadi siku 126 kwa mzunguko wa miaka 3 (63 malipo kamili + 63 nusu). Cheti cha daktari kinahitajika.,ELRA 2004 s.32,
K007,rule,en,maternity_leave,"Maternity leave: 84 days paid (98 for multiple births), once per 36-month cycle. Premature birth: additional paid leave from birth to 40 weeks of pregnancy.",ELRA 2004 s.33 (amended),days=84;multiple=98;premature=until_40weeks
K007,rule,sw,maternity_leave,"Likizo ya uzazi: siku 84 zenye malipo (98 kwa mapacha), mara moja kwa mzunguko wa miezi 36. Kuzaliwa kabla ya muda: likizo zaidi kuanzia kuzaliwa hadi wiki 40 za mimba.",ELRA 2004 s.33 (amended),
K008,rule,en,paternity_leave,Paternity leave: 3 days within 7 days of birth. Premature birth: additional 7 days within 7 days of premature birth (LLA 4/2025).,ELRA 2004 s.34 (amended),days=3;premature_extra=7
K008,rule,sw,paternity_leave,Likizo ya baba: siku 3 ndani ya siku 7 baada ya kuzaliwa. Kuzaliwa kabla ya muda: siku 7 za ziada ndani ya siku 7.,ELRA 2004 s.34 (amended),
K009,rule,en,unpaid_leave,"Unpaid leave: up to 30 days on written application, extendable by mutual agreement (LLA 4/2025).",LLA 4/2025,days=30;extension=mutual
K009,rule,sw,unpaid_leave,"Likizo bila malipo: hadi siku 30 baada ya maombi ya maandishi, inaweza kuongezwa kwa makubaliano.",LLA 4/2025,
K010,rule,en,overtime_pay,Overtime: paid at 1.5x basic wage. Work on weekly rest day or public holiday: 2x basic wage.,ELRA 2004 s.19,overtime=1.5x;restday=2x
K010,rule,sw,overtime_pay,Saa za ziada: zinalipwa mara 1.5 ya mshahara wa msingi. Kazi siku ya mapumziko au sikukuu: mara 2.,ELRA 2004 s.19,
K011,rule,en,working_hours,Maximum: 45 ordinary hours/week + up to 12 hours overtime/week. Daily max: 9 (6-day week) or 8 (5-day week).,ELRA 2004 s.19,week_max=45;overtime_max=12;day_max=9
K011,rule,sw,working_hours,Juu: masaa 45 ya kawaida/wiki + hadi masaa 12 ya ziada/wiki. Kwa siku: 9 (wiki ya siku 6) au 8 (wiki ya siku 5).,ELRA 2004 s.19,
