id,sentence,lang,extracted_name,extracted_occupation,extracted_sector,extracted_sub_sector,extracted_region,extracted_years,extracted_role,bot_response
I00001,"My name is John, I'm a driver in transport.",en,John,driver,transport,inland transport,Dar es Salaam,1,employee,Hello John. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00002,"My name is John, I'm a driver in transport.",en,John,driver,transport,inland transport,Dar es Salaam,5,employee,Hello John. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00003,"My name is John, I'm a driver in transport.",en,John,driver,transport,inland transport,Arusha,1,employee,Hello John. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00004,"My name is John, I'm a driver in transport.",en,John,driver,transport,inland transport,Arusha,5,employee,Hello John. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00005,"My name is John, I'm a driver in transport.",en,John,driver,transport,inland transport,Mwanza,1,employee,Hello John. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00006,"My name is John, I'm a driver in transport.",en,John,driver,transport,inland transport,Mwanza,5,employee,Hello John. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
I00007,"Hi, I'm John. I work as a driver.",en,John,driver,transport,inland transport,Dar es Salaam,1,employee,Hello John. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00008,"Hi, I'm John. I work as a driver.",en,John,driver,transport,inland transport,Dar es Salaam,5,employee,Hello John. I see you're a driver in the transport sector based in Dar es Salaam. What employment question can I help with?
I00009,"Hi, I'm John. I work as a driver.",en,John,driver,transport,inland transport,Arusha,1,employee,Hello John. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00010,"Hi, I'm John. I work as a driver.",en,John,driver,transport,inland transport,Arusha,5,employee,Hello John. I see you're a driver in the transport sector based in Arusha. What employment question can I help with?
I00011,"Hi, I'm John. I work as a driver.",en,John,driver,transport,inland transport,Mwanza,1,employee,Hello John. I see you're a driver in the transport sector based in Mwanza. What employment question can I help with?
